what can I do at the office to decrease spread?,AdditionalWorkplaceHygiene
any additional tips to decrease spread?,AdditionalWorkplaceHygiene
do I need to provide PPE to customers?,AdditionalWorkplaceHygiene
what can I do to decrease the spread of disease in my workplace?,AdditionalWorkplaceHygiene
How do I revise my workspace to reduce transmission risks?,AdditionalWorkplaceHygiene
can I get covid-19 from my pet?,AnimalContact
do dogs and cats get sick from corona virus?,AnimalContact
can my dog catch corona virus?,AnimalContact
can I get this from my dog?,AnimalContact
can I get this from my cat?,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
Animal contact,AnimalContact
Should I avoid funerals?,AttendingFuneral
Are funerals safe? ,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Can I go to a funeral? ,AttendingFuneral
How is CDC helping Americans prepare?,CDC_Response
What is the center for disease control doing to help?,CDC_Response
What is CDC doing about COVID-19?,CDC_Response
CDC response,CDC_Response
Does CDC work to protect public health?,CDC_Response
are facemasks recommended for children,ChildrenAndFaceMasks
Should children wear masks?,ChildrenAndFaceMasks
Children and facemasks,ChildrenAndFaceMasks
does my daughter need to wear a facemask?,ChildrenAndFaceMasks
can my child play outside without a mask?,ChildrenAndFaceMasks
Can my kid still go to group activities?,ChildrenSocializing
do kids need to limit in person contact?,ChildrenSocializing
"While school’s out, can my child hang out with their friends?",ChildrenSocializing
Children socializing,ChildrenSocializing
While school is out can my child go to sports practice?,ChildrenSocializing
Is social distancing important for kids too?,ChildrenSocializing
How does community spread happen? ,CommunitySpread
Community Spread,CommunitySpread
What is community spread?,CommunitySpread
What does that term community spread mean?,CommunitySpread
Does  Corona Virus (COVID-19) spread to an entire community?,CommunitySpread
Why is community spread of this virus important?,CommunitySpread
Can community spread happen? ,CommunitySpread
which businesses are thought of as critical?,CriticalBusinesses
Which businesses are deemed critical?,CriticalBusinesses
How do I find out if my business is considered essential?,CriticalBusinesses
Is my workplace a critical business?,CriticalBusinesses
How do I know if my business is considered critical?,CriticalBusinesses
How do you know this?,DataSource
Where did you learn this?,DataSource
Is this true?,DataSource
Are you sure?,DataSource
Where do you get your information?,DataSource
Is this information accurate?,DataSource
Do I need to clean with bleach?,DisinfectingSurfaces
how should i disinfect my home?,DisinfectingSurfaces
How do I clean my home to remove virus molecules,DisinfectingSurfaces
What cleaning products should I use to protect against COVID-19?,DisinfectingSurfaces
what products are best at disinfecting?,DisinfectingSurfaces
Where do i need to disinfect?,DisinfectingSurfaces
Disinfecting surfaces,DisinfectingSurfaces
how much extra cleaning should I do?,DisinfectingTheWorkplace
what areas do I need to disinfect?,DisinfectingTheWorkplace
any cleaning recommendations?,DisinfectingTheWorkplace
how do we keep the customer area disinfected?,DisinfectingTheWorkplace
How do I clean and disinfect machinery or equipment?,DisinfectingTheWorkplace
can I go back to work without a doctor's note?,DocumentEmployeeIllness
do I need to get a doctor's excuse if I test positive?,DocumentEmployeeIllness
can my employer require a doctor's note?,DocumentEmployeeIllness
do I need to prove I am covid free to return to work?,DocumentEmployeeIllness
Does an employee need to bring a doctor's note ?,DocumentEmployeeIllness
how do I disinfect if a sick person showed up at work?,EmployeeShowsSymptoms
what if someone i work with is sick?,EmployeeShowsSymptoms
if an employee seems like they might have covid,EmployeeShowsSymptoms
do I need to quarantine the area where a sick person worked?,EmployeeShowsSymptoms
What should I do if an employee shows symptoms of Covid-19?,EmployeeShowsSymptoms
how to disinfect the workplace after someone has been ill?,EmployeeTestsPositive
my employee came to work then got sick. now what do I do?,EmployeeTestsPositive
how to respond to possible exposure at work?,EmployeeTestsPositive
someone I worked with is now sick. do I need to disinfect the office?,EmployeeTestsPositive
what if an employee tests positive after they have been reporting to work?,EmployeeTestsPositive
can i return to work even though my housemate has covid?,ExposedEmployees
My spouse had covid. Can I go back to work anyway?,ExposedEmployees
how long should I stay home from work after being near someone with covid?,ExposedEmployees
should my employees stay home from work if they are exposed to covid?,ExposedEmployees
should i stay home from work if I've been in contact with a covid patient?,ExposedEmployees
see you later,goodbyes
see ya later,goodbyes
talk to you soon,goodbyes
talk to you later,goodbyes
thanks watson,goodbyes
thank you,goodbyes
then bye,goodbyes
toodles,goodbyes
thanks,goodbyes
ttyl,goodbyes
ty,goodbyes
thx,goodbyes
bye im going to play a game,goodbyes
i am done with you,goodbyes
o thank u,goodbyes
ok thanks,goodbyes
ok thank you for your time,goodbyes
ok thank you,goodbyes
stop,goodbyes
gtg go right now ok,goodbyes
got to go bye nice time talking to you,goodbyes
goodbye joto,goodbyes
good bye hohoho,goodbyes
dont need your help at all,goodbyes
done,goodbyes
be quiet robot,goodbyes
thanks for your help,goodbyes
shut up,goodbyes
youre welcome now bye,goodbyes
no thank you,goodbyes
thank you for the info,goodbyes
sorry got to go,goodbyes
take it easy,goodbyes
take care,goodbyes
soon,goodbyes
so long,goodbyes
signing out,goodbyes
signing off,goodbyes
should go,goodbyes
should be going,goodbyes
see you,goodbyes
later,goodbyes
im leaving,goodbyes
have a good one,goodbyes
gtg,goodbyes
gotta run,goodbyes
gotta go,goodbyes
gday,goodbyes
good day,goodbyes
good bye,goodbyes
goodbye,goodbyes
go,goodbyes
farewell,goodbyes
cya,goodbyes
catch ya later,goodbyes
bye now,goodbyes
bye bye,goodbyes
bye,goodbyes
au revoir,goodbyes
adios,goodbyes
adieu,goodbyes
good night,goodbyes
g'day,goodbyes
i'm leaving,goodbyes
no problem,goodbyes
laters,goodbyes
leave,goodbyes
logging off,goodbyes
my time is up,goodbyes
ok bye,goodbyes
out of time,goodbyes
over and out,goodbyes
run,goodbyes
see ya,goodbyes
see ya soon,goodbyes
aloha,greeting
hola,greeting
hi there,greeting
howdy,greeting
yo,greeting
yello,greeting
Olla,greeting
heya,greeting
feeling a bit low,greeting
Good morning,greeting
Good afternoon,greeting
hey there,greeting
ciao,greeting
hiya,greeting
buenos dias,greeting
hey,greeting
bonjour,greeting
namaste,greeting
good evening,greeting
hello,greeting
hello watson,greeting
hi,greeting
handwashing products,HandwashingTips
is hand sanitizer effective against covid-19?,HandwashingTips
should i keep washing my hands,HandwashingTips
Should I use soap and water or a hand sanitizer to protect against COVID-19?,HandwashingTips
how do i wash my hands correctly?,HandwashingTips
will frequent handwashing help?,HandwashingTips
will washing my hands help protect me?,HandwashingTips
Handwashing tips,HandwashingTips
does CDC provide protocols for labs to test covid-19?,HealthDeptRecommendedActions
can CDC help my local board of health,HealthDeptRecommendedActions
What should healthcare professionals and health departments do?,HealthDeptRecommendedActions
can CDC help my local health dept get protective gear?,HealthDeptRecommendedActions
how do I ship a specimen to the CDC lab?,HealthDeptRecommendedActions
Health dept recommended actions,HealthDeptRecommendedActions
Can Gen-X get sick? ,HigherRiskPopulations
Are older adults more likely to contract the disease?,HigherRiskPopulations
Are all the old people going to die? ,HigherRiskPopulations
Why are people with pre-existing conditions more at risk?,HigherRiskPopulations
Who is dying? ,HigherRiskPopulations
How does it affect immunocompromised people? ,HigherRiskPopulations
Higher risk populations,HigherRiskPopulations
Who is at higher risk for serious illness from COVID-19?,HigherRiskPopulations
Does  Corona Virus (COVID-19) affect older people more?,HigherRiskPopulations
Can Millennials get it? ,HigherRiskPopulations
Do seniors need to take extra precautions?,HigherRiskPopulations
How does this impact the elderly? ,HigherRiskPopulations
I am over the age of 60.,HigherRiskPopulations
I have a chronic illness.,HigherRiskPopulations
I have underlying health issues.,HigherRiskPopulations
What does immunocompromised mean? ,HigherRiskPopulations
Why do Boomers get sick? ,HigherRiskPopulations
Does Gen-Y get it?,HigherRiskPopulations
does the corona virus spread easily?,HowDoesItSpread
how did the virus spread from China?,HowDoesItSpread
How does it spread,HowDoesItSpread
How does the virus spread?,HowDoesItSpread
is corona virus contagious?,HowDoesItSpread
What are the stats on COVID-19?,How_many_cases
How many cases of corona virus has been detected?,How_many_cases
Total Cases so Far,How_many_cases
How many cases of Covid 19 has been detected?,How_many_cases
What is the stats on Corona Virus?,How_many_cases
How many cases of covid 19 have been detected?,How_many_cases
How many cases so far?,How_many_cases
my roommate has corona virus what should I do?,InfectedFamilyMember
do I need to quarantine ill family members?,InfectedFamilyMember
Infected family member,InfectedFamilyMember
what do i do when someone in my home gets it?,InfectedFamilyMember
What should I do if someone in my house gets sick with COVID-19?,InfectedFamilyMember
"While school’s out, will kids have access to meals?",MealsForStudents
will school students be able to get their free meals?,MealsForStudents
how are students on school lunch plans getting their meals?,MealsForStudents
Meals for students,MealsForStudents
are schools continuing to serve school lunch plans even if classes are closed?,MealsForStudents
Can you have corona virus and still test negative?,NegativeTestResults
Does a negative test mean a person does not have COVID-19?,NegativeTestResults
Negative test results,NegativeTestResults
if you test negative can you still get COVID-19 later?,NegativeTestResults
Can a person test negative and later test positive for COVID-19?,NegativeTestResults
